stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,stop_id
14710,14710,Kennedy Station - Platform A,,43.732361,-79.26374,,,,,,1,14710
14711,14711,Kennedy Station - Platform A,,43.732269,-79.264011,,,,,,1,14711
14716,14716,Kipling Station,,43.637209,-79.536117,,,,,,1,14716
14717,14717,Kipling Station,,43.637354,-79.535939,,,,,,1,14717
14718,14718,Kipling Station,,43.637465,-79.53581,,,,,,1,14718
14719,14719,Kipling Station,,43.637582,-79.535677,,,,,,1,14719
14720,14720,Kipling Station,,43.637717,-79.535511,,,,,,1,14720
14721,14721,Kipling Station,,43.637851,-79.535345,,,,,,1,14721
14722,14722,Kipling Station,,43.637963,-79.535215,,,,,,1,14722
14723,14723,Kipling Station,,43.638084,-79.535066,,,,,,1,14723
14724,14724,Kipling Station,,43.638195,-79.534941,,,,,,1,14724
14725,14725,Lawrence Station,,43.725556,-79.402351,,,,,,1,14725
14726,14726,Lawrence Station,,43.725383,-79.40231,,,,,,1,14726
14727,14727,Lawrence Station,,43.725127,-79.402224,,,,,,1,14727
14731,14731,Lawrence West Station,,43.715672,-79.443696,,,,,,1,14731
14732,14732,Lawrence West Station,,43.715629,-79.443912,,,,,,1,14732
14733,14733,Lawrence West Station,,43.715586,-79.444126,,,,,,1,14733
14734,14734,Lawrence West Station,,43.715545,-79.444333,,,,,,1,14734
14735,14735,Lawrence West Station,,43.7155,-79.444568,,,,,,1,14735
14736,14736,Main Street Station,,43.689037,-79.301926,,,,,,1,14736
14737,14737,Main Street Station,,43.689096,-79.301708,,,,,,1,14737
14738,14738,Main Street Station,,43.689158,-79.301482,,,,,,1,14738
14739,14739,Main Street Station,,43.689215,-79.301272,,,,,,1,14739
14740,14740,Main Street Station,,43.689034,-79.301209,,,,,,1,14740
14741,14741,Main Street Station,,43.688861,-79.301804,,,,,,2,14741
14742,14742,Old Mill Station,,43.650156,-79.495072,,,,,,2,14742
14743,14743,Ossington Station,,43.662271,-79.426546,,,,,,1,14743
14744,14744,Ossington Station,,43.662251,-79.426749,,,,,,1,14744
14745,14745,Ossington Station,,43.662338,-79.426607,,,,,,1,14745
14746,14746,Ossington Station,,43.662437,-79.426176,,,,,,1,14746
14750,14750,Rosedale Station,,43.67684,-79.388875,,,,,,1,14750
14751,14751,Royal York Station,,43.648338,-79.511178,,,,,,1,14751
14752,14752,Royal York Station,,43.648282,-79.511038,,,,,,1,14752
14753,14753,Royal York Station,,43.6481,-79.51129,,,,,,1,14753
14755,14755,Runnymede Station,,43.651732,-79.475954,,,,,,1,14755
14756,14756,Runnymede Station,,43.651787,-79.475714,,,,,,1,14756
14758,14758,Scarborough Centre Station,,43.774257,-79.258185,,,,,,1,14758
14759,14759,Scarborough Centre Station,,43.774207,-79.258411,,,,,,1,14759
14760,14760,Scarborough Centre Station,,43.77417,-79.258565,,,,,,1,14760
14761,14761,Scarborough Centre Station,,43.774369,-79.25849,,,,,,1,14761
14762,14762,Scarborough Centre Station,,43.774436,-79.258212,,,,,,1,14762
14763,14763,Scarborough Centre Station,,43.774515,-79.257894,,,,,,1,14763
14764,14764,Scarborough Centre Station,,43.774583,-79.257626,,,,,,1,14764
14766,14766,Scarborough Centre Station,,43.774499,-79.257246,,,,,,1,14766
14768,14768,Scarborough Centre Station,,43.774373,-79.257735,,,,,,1,14768
14769,14769,Scarborough Centre Station,,43.774322,-79.257944,,,,,,1,14769
14771,14771,Sheppard-Yonge Station,,43.761885,-79.412389,,,,,,1,14771
14772,14772,Sheppard-Yonge Station,,43.761886,-79.412127,,,,,,1,14772
14773,14773,Sheppard-Yonge Station,,43.761702,-79.411916,,,,,,1,14773
14774,14774,Sheppard-Yonge Station,,43.761564,-79.412107,,,,,,1,14774
14775,14775,Sheppard-Yonge Station,,43.761521,-79.412454,,,,,,1,14775
14777,14777,Spadina Station,,43.667271,-79.403784,,,,,,1,14777
14778,14778,St Clair Station,,43.687857,-79.391958,,,,,,1,14778
14779,14779,St Clair West Station,,43.684231,-79.415227,,,,,,1,14779
14780,14780,St Clair West Station,,43.684447,-79.415555,,,,,,1,14780
14783,14783,St Clair West Station,,43.68437,-79.415255,,,,,,1,14783
14784,14784,St George Station,,43.668655,-79.398053,,,,,,1,14784
14786,14786,Victoria Park Station,,43.693982,-79.288461,,,,,,1,14786
14787,14787,Victoria Park Station,,43.694134,-79.288543,,,,,,1,14787
14788,14788,Victoria Park Station,,43.694329,-79.288637,,,,,,1,14788
14797,14797,Wellesley Station,,43.665358,-79.383941,,,,,,1,14797
14798,14798,Wellesley Station,,43.665306,-79.383605,,,,,,1,14798
14799,14799,Wilson Station,,43.734475,-79.45092,,,,,,2,14799
14800,14800,Wilson Station,,43.734574,-79.450945,,,,,,1,14800
14801,14801,Wilson Station,,43.73487,-79.450888,,,,,,2,14801
14802,14802,Wilson Station,,43.734709,-79.450841,,,,,,2,14802
14803,14803,Wilson Station,,43.73446,-79.450745,,,,,,2,14803
14804,14804,Woodbine Station,,43.68644,-79.312471,,,,,,1,14804
14805,14805,Woodbine Station,,43.686458,-79.312232,,,,,,1,14805
14806,14806,York Mills Station,,43.745172,-79.40593,,,,,,1,14806
14807,14807,York Mills Station,,43.745136,-79.406134,,,,,,1,14807
14808,14808,York Mills Station,,43.74511,-79.40634,,,,,,1,14808
14810,14810,York Mills Station,,43.745263,-79.406583,,,,,,1,14810
14811,14811,York Mills Station,,43.745338,-79.406424,,,,,,1,14811
14812,14812,York Mills Station,,43.745366,-79.406237,,,,,,1,14812
14813,14813,York Mills Station,,43.745312,-79.406022,,,,,,1,14813
14814,14814,York Mills Station,,43.745211,-79.405823,,,,,,1,14814
14816,14816,Spadina Station,,43.667221,-79.403665,,,,,,1,14816
14819,14819,St Clair Station,,43.687713,-79.392394,,,,,,1,14819
14817,14817,Wilson Station,,43.734555,-79.450966,,,,,,2,14817
14820,14820,Wilson Station,,43.734918,-79.451104,,,,,,2,14820
14111,14111,Finch Station - Southbound Platform,,43.780147,-79.415692,,,,,,1,14111
13789,13789,North York Centre Station - Southbound Platform,,43.767347,-79.412492,,,,,,1,13789
13860,13860,Sheppard-Yonge Station - Southbound Platform,,43.760348,-79.410691,,,,,,1,13860
13792,13792,York Mills Station - Southbound Platform,,43.743248,-79.405991,,,,,,1,13792
13793,13793,Lawrence Station - Southbound Platform,,43.725348,-79.40229,,,,,,1,13793
13795,13795,Eglinton Station - Southbound Platform,,43.704648,-79.39889,,,,,,1,13795
13798,13798,Davisville Station - Southbound Platform,,43.697048,-79.39689,,,,,,1,13798
13799,13799,St Clair Station - Southbound Platform,,43.687449,-79.393089,,,,,,1,13799
13802,13802,Summerhill Station - Southbound Platform,,43.682049,-79.390789,,,,,,1,13802
13803,13803,Rosedale Station - Southbound Platform,,43.676049,-79.388089,,,,,,1,13803
13864,13864,Bloor Station - Southbound Platform,,43.670049,-79.385389,,,,,,1,13864
13806,13806,Wellesley Station - Southbound Platform,,43.664949,-79.383488,,,,,,1,13806
13807,13807,College Station - Southbound Platform,,43.660149,-79.382688,,,,,,2,13807
13810,13810,TMU Station - Southbound Platform,,43.655949,-79.380788,,,,,,1,13810
13811,13811,Queen Station - Southbound Platform,,43.652149,-79.379188,,,,,,1,13811
13814,13814,King Station - Southbound Platform,,43.648449,-79.377688,,,,,,2,13814
13815,13815,Union Station - Northbound Platform Towards Vaughan Metropolitan Centre,,43.645549,-79.381488,,,,,,1,13815
13817,13817,St Andrew Station - Northbound Platform,,43.648249,-79.385088,,,,,,1,13817
13820,13820,Osgoode Station - Northbound Platform,,43.651749,-79.386888,,,,,,1,13820
13821,13821,St Patrick Station - Northbound Platform,,43.655249,-79.388388,,,,,,1,13821
13824,13824,Queen's Park Station - Northbound Platform,,43.660549,-79.390689,,,,,,1,13824
13825,13825,Museum Station - Northbound Platform,,43.667249,-79.393389,,,,,,2,13825
13858,13858,St George Station - Northbound Platform,,43.668249,-79.399689,,,,,,1,13858
13853,13853,Spadina Station - Northbound Platform,,43.670249,-79.405189,,,,,,2,13853
13828,13828,Dupont Station - Northbound Platform,,43.674949,-79.40709,,,,,,1,13828
13829,13829,St Clair West Station - Northbound Platform,,43.685148,-79.41589,,,,,,1,13829
13832,13832,Cedarvale Station - Northbound Platform,,43.700648,-79.436691,,,,,,1,13832
13833,13833,Glencairn Station - Northbound Platform,,43.709148,-79.440892,,,,,,1,13833
13836,13836,Lawrence West Station - Northbound Platform,,43.715784,-79.444038,,,,,,1,13836
13837,13837,Yorkdale Station - Northbound Platform,,43.725248,-79.447692,,,,,,2,13837
13840,13840,Wilson Station - Northbound Platform,,43.735048,-79.450192,,,,,,1,13840
14945,14945,Sheppard West Station - Northbound Platform,,43.750204,-79.462781,,,,,,1,14945
14110,14110,Sheppard West Station - Southbound Platform,,43.749147,-79.461993,,,,,,1,14110
13839,13839,Wilson Station - Southbound Platform,,43.733848,-79.449892,,,,,,1,13839
13838,13838,Yorkdale Station - Southbound Platform,,43.723948,-79.447292,,,,,,1,13838
13835,13835,Lawrence West Station - Southbound Platform,,43.714748,-79.443791,,,,,,1,13835
13834,13834,Glencairn Station - Southbound Platform,,43.708048,-79.440191,,,,,,1,13834
13831,13831,Cedarvale Station - Southbound Platform,,43.699348,-79.436291,,,,,,1,13831
13830,13830,St Clair West Station - Southbound Platform,,43.683948,-79.41539,,,,,,1,13830
13827,13827,Dupont Station - Southbound Platform,,43.673749,-79.406689,,,,,,1,13827
13854,13854,Spadina Station - Southbound Platform,,43.669049,-79.404789,,,,,,2,13854
13857,13857,St George Station - Southbound Platform,,43.668549,-79.397889,,,,,,1,13857
13826,13826,Museum Station - Southbound Platform,,43.665949,-79.392989,,,,,,2,13826
13823,13823,Queen's Park Station - Southbound Platform,,43.659249,-79.390289,,,,,,1,13823
13822,13822,St Patrick Station - Southbound Platform,,43.654049,-79.387988,,,,,,1,13822
13819,13819,Osgoode Station - Southbound Platform,,43.650449,-79.386488,,,,,,1,13819
13818,13818,St Andrew Station - Southbound Platform,,43.647049,-79.384488,,,,,,1,13818
13816,13816,Union Station - Northbound Platform Towards Finch,,43.645849,-79.379688,,,,,,1,13816
13813,13813,King Station - Northbound Platform,,43.649649,-79.378088,,,,,,2,13813
13812,13812,Queen Station - Northbound Platform,,43.653349,-79.379588,,,,,,1,13812
13809,13809,TMU Station - Northbound Platform,,43.657149,-79.381188,,,,,,1,13809
13808,13808,College Station - Northbound Platform,,43.661449,-79.383088,,,,,,2,13808
13805,13805,Wellesley Station - Northbound Platform,,43.666149,-79.383788,,,,,,1,13805
13863,13863,Bloor Station - Northbound Platform,,43.671044,-79.385918,,,,,,1,13863
13804,13804,Rosedale Station - Northbound Platform,,43.677249,-79.388589,,,,,,1,13804
13801,13801,Summerhill Station - Northbound Platform,,43.683349,-79.391189,,,,,,1,13801
13800,13800,St Clair Station - Northbound Platform,,43.688649,-79.393489,,,,,,1,13800
13797,13797,Davisville Station - Northbound Platform,,43.698248,-79.39729,,,,,,1,13797
13796,13796,Eglinton Station - Northbound Platform,,43.706548,-79.39839,,,,,,1,13796
13794,13794,Lawrence Station - Northbound Platform,,43.726548,-79.40249,,,,,,1,13794
13791,13791,York Mills Station - Northbound Platform,,43.744448,-79.406191,,,,,,1,13791
13859,13859,Sheppard-Yonge Station - Northbound Platform,,43.761648,-79.410891,,,,,,1,13859
13790,13790,North York Centre Station - Northbound Platform,,43.768547,-79.412592,,,,,,1,13790
14944,14944,Finch Station - Subway Platform,,43.780847,-79.415291,,,,,,1,14944
13785,13785,Kipling Station - Eastbound Platform,,43.637648,-79.535694,,,,,,1,13785
13784,13784,Islington Station - Eastbound Platform,,43.645548,-79.523293,,,,,,2,13784
13781,13781,Royal York Station - Eastbound Platform,,43.648548,-79.508693,,,,,,1,13781
13780,13780,Old Mill Station - Eastbound Platform,,43.649448,-79.493392,,,,,,2,13780
13777,13777,Jane Station - Eastbound Platform,,43.650149,-79.482892,,,,,,1,13777
13776,13776,Runnymede Station - Eastbound Platform,,43.652049,-79.474992,,,,,,2,13776
13773,13773,High Park Station - Eastbound Platform,,43.653849,-79.466991,,,,,,1,13773
13772,13772,Keele Station - Eastbound Platform,,43.655649,-79.458691,,,,,,1,13772
13769,13769,Dundas West Station - Eastbound Platform,,43.657449,-79.451091,,,,,,1,13769
13768,13768,Lansdowne Station - Eastbound Platform,,43.659246,-79.442463,,,,,,1,13768
13765,13765,Dufferin Station - Eastbound Platform,,43.660849,-79.43389,,,,,,1,13765
13764,13764,Ossington Station - Eastbound Platform,,43.662349,-79.42609,,,,,,1,13764
13761,13761,Christie Station - Eastbound Platform,,43.664449,-79.41729,,,,,,1,13761
13760,13760,Bathurst Station - Eastbound Platform,,43.665949,-79.410589,,,,,,1,13760
13852,13852,Spadina Station - Eastbound Platform,,43.667249,-79.403889,,,,,,1,13852
13856,13856,St George Station - Eastbound Platform,,43.668549,-79.397989,,,,,,1,13856
13757,13757,Bay Station - Eastbound Platform,,43.670149,-79.390089,,,,,,1,13757
13756,13756,Yonge Station - Eastbound Platform,,43.670997,-79.385956,,,,,,1,13756
13753,13753,Sherbourne Station - Eastbound Platform,,43.672103,-79.376162,,,,,,1,13753
13752,13752,Castle Frank Station - Eastbound Platform,,43.674049,-79.368088,,,,,,1,13752
13749,13749,Broadview Station - Eastbound Platform,,43.677049,-79.358088,,,,,,1,13749
13748,13748,Chester Station - Eastbound Platform,,43.678241,-79.352502,,,,,,1,13748
13746,13746,Pape Station - Eastbound Platform,,43.679949,-79.344087,,,,,,1,13746
13743,13743,Donlands Station - Eastbound Platform,,43.681149,-79.337487,,,,,,1,13743
13742,13742,Greenwood Station - Eastbound Platform,,43.682549,-79.331687,,,,,,2,13742
13739,13739,Coxwell Station - Eastbound Platform,,43.684549,-79.321986,,,,,,1,13739
13738,13738,Woodbine Station - Eastbound Platform,,43.686649,-79.312286,,,,,,1,13738
13735,13735,Main Street Station - Eastbound Platform,,43.689249,-79.300686,,,,,,1,13735
13734,13734,Victoria Park Station - Eastbound Platform,,43.695149,-79.287885,,,,,,1,13734
13732,13732,Warden Station - Eastbound Platform,,43.712149,-79.278785,,,,,,1,13732
14947,14947,Kennedy Station - Subway Platform,,43.732487,-79.263718,,,,,,1,14947
13865,13865,Kennedy Station - Westbound Platform,,43.732149,-79.264785,,,,,,1,13865
13731,13731,Warden Station - Westbound Platform,,43.710949,-79.279085,,,,,,1,13731
13733,13733,Victoria Park Station - Westbound Platform,,43.694649,-79.289485,,,,,,1,13733
13736,13736,Main Street Station - Westbound Platform,,43.688949,-79.302386,,,,,,1,13736
13737,13737,Woodbine Station - Westbound Platform,,43.686349,-79.313986,,,,,,1,13737
13740,13740,Coxwell Station - Westbound Platform,,43.684249,-79.323686,,,,,,1,13740
13741,13741,Greenwood Station - Westbound Platform,,43.682849,-79.329987,,,,,,2,13741
13744,13744,Donlands Station - Westbound Platform,,43.680949,-79.339187,,,,,,1,13744
13745,13745,Pape Station - Westbound Platform,,43.679649,-79.345787,,,,,,1,13745
13747,13747,Chester Station - Westbound Platform,,43.678351,-79.352537,,,,,,2,13747
13750,13750,Broadview Station - Westbound Platform,,43.676349,-79.359588,,,,,,1,13750
13751,13751,Castle Frank Station - Westbound Platform,,43.673549,-79.369788,,,,,,2,13751
13754,13754,Sherbourne Station - Westbound Platform,,43.672174,-79.376173,,,,,,1,13754
13755,13755,Yonge Station - Westbound Platform,,43.671049,-79.386789,,,,,,1,13755
13758,13758,Bay Station - Westbound Platform,,43.669849,-79.391789,,,,,,1,13758
13855,13855,St George Station - Westbound Platform,,43.668249,-79.399689,,,,,,1,13855
13851,13851,Spadina Station - Westbound Platform,,43.666949,-79.405689,,,,,,1,13851
13759,13759,Bathurst Station - Westbound Platform,,43.665649,-79.41229,,,,,,1,13759
13762,13762,Christie Station - Westbound Platform,,43.664149,-79.41899,,,,,,1,13762
13763,13763,Ossington Station - Westbound Platform,,43.662049,-79.42789,,,,,,1,13763
13766,13766,Dufferin Station - Westbound Platform,,43.660549,-79.43569,,,,,,1,13766
13767,13767,Lansdowne Station - Westbound Platform,,43.659314,-79.442471,,,,,,1,13767
13770,13770,Dundas West Station - Westbound Platform,,43.657149,-79.452791,,,,,,1,13770
13771,13771,Keele Station - Westbound Platform,,43.655349,-79.460391,,,,,,1,13771
13774,13774,High Park Station - Westbound Platform,,43.653549,-79.468691,,,,,,1,13774
13775,13775,Runnymede Station - Westbound Platform,,43.651749,-79.476692,,,,,,2,13775
13778,13778,Jane Station - Westbound Platform,,43.649749,-79.484592,,,,,,1,13778
13779,13779,Old Mill Station - Westbound Platform,,43.650048,-79.494892,,,,,,2,13779
13782,13782,Royal York Station - Westbound Platform,,43.648348,-79.510493,,,,,,1,13782
13783,13783,Islington Station - Westbound Platform,,43.645248,-79.524994,,,,,,2,13783
14948,14948,Kipling Station - Subway Platform,,43.637392,-79.535892,,,,,,1,14948
13862,13862,Sheppard-Yonge Station - Eastbound Platform,,43.761494,-79.410394,,,,,,1,13862
13844,13844,Bayview Station - Eastbound Platform,,43.766872,-79.386703,,,,,,1,13844
13845,13845,Bessarion Station - Eastbound Platform,,43.769202,-79.376312,,,,,,1,13845
13848,13848,Leslie Station - Eastbound Platform,,43.771348,-79.36499,,,,,,1,13848
14949,14949,Don Mills Station - Subway Platform,,43.775547,-79.346584,,,,,,1,14949
14109,14109,Don Mills Station - Westbound Platform,,43.775248,-79.346189,,,,,,1,14109
13847,13847,Leslie Station - Westbound Platform,,43.771248,-79.36679,,,,,,1,13847
13846,13846,Bessarion Station - Westbound Platform,,43.769296,-79.376345,,,,,,1,13846
